H_matches_played,H_wins,H_draws,H_losses,H_goals_scored,H_goals_conceded,H_goal_diff,H_points,A_matches_played,A_wins,A_draws,A_losses,A_goals_scored,A_goals_conceded,A_goal_diff,A_points,is_neutral,is_competitive
10,1,3,6,0.9,2.6,-1.7,0.6,10,6,4,0,1.9,0.6,1.3,2.2,0,0
10,4,1,5,1.4,1.5,-0.1,1.3,10,2,3,5,1.3,2.1,-0.8,0.9,0,1
10,3,2,5,1.5,2.4,-0.9,1.1,10,5,2,3,2.0,1.8,0.2,1.7,0,0
10,5,0,5,1.7,1.2,0.5,1.5,10,2,2,6,0.9,1.4,-0.5,0.8,1,0
10,5,1,4,0.9,1.0,-0.1,1.6,10,9,0,1,2.4,0.4,2.0,2.7,0,1
10,1,2,7,1.0,2.1,-1.1,0.5,10,7,3,0,1.8,0.5,1.3,2.4,1,1
10,6,2,2,2.2,0.8,1.4,2.0,10,4,3,3,2.3,0.8,1.5,1.5,1,1
8,5,0,3,1.5,1.5,0.0,1.875,9,3,1,5,3.3333333333333335,1.6666666666666667,1.6666666666666667,1.1111111111111112,1,1
10,4,2,4,1.1,1.6,-0.5,1.4,8,2,1,5,3.0,2.625,0.375,0.875,1,1
10,6,1,3,1.9,1.4,0.5,1.9,10,9,1,0,2.9,0.7,2.2,2.8,1,1
9,5,2,2,2.2222222222222223,1.4444444444444444,0.7777777777777778,1.8888888888888888,9,3,3,3,1.3333333333333333,1.0,0.3333333333333333,1.3333333333333333,1,1
9,2,0,7,0.7777777777777778,3.888888888888889,-3.111111111111111,0.6666666666666666,10,6,2,2,2.4,1.3,1.1,2.0,1,1
10,3,3,4,1.3,1.1,0.2,1.2,10,2,0,8,0.8,3.7,-2.9,0.6,1,1
10,7,1,2,2.4,1.2,1.2,2.2,10,6,2,2,2.2,1.4,0.8,2.0,1,1
10,3,1,6,3.0,1.7,1.3,1.0,10,1,2,7,1.0,1.9,-0.9,0.5,1,1
10,7,3,0,1.6,0.3,1.3,2.4,9,6,0,3,1.5555555555555556,1.3333333333333333,0.2222222222222222,2.0,1,1
10,5,2,3,1.3,1.4,-0.1,1.7,10,3,4,3,1.7,0.8,0.9,1.3,1,1
10,5,0,5,1.6,1.5,0.1,1.5,10,5,3,2,2.0,1.0,1.0,1.8,0,1
5,2,1,2,2.6,1.4,1.2,1.4,10,2,2,6,1.5,2.5,-1.0,0.8,1,1
9,2,1,6,2.6666666666666665,2.6666666666666665,0.0,0.7777777777777778,10,5,3,2,1.8,0.8,1.0,1.8,1,1
10,7,1,2,2.5,1.2,1.3,2.2,10,4,2,4,1.5,1.1,0.4,1.4,1,1
10,8,2,0,1.7,0.3,1.4,2.6,10,4,0,6,3.5,1.8,1.7,1.2,1,1
10,6,0,4,1.4,1.3,0.1,1.8,10,1,2,7,1.1,2.3,-1.2,0.5,1,1
10,3,4,3,1.6,0.8,0.8,1.3,10,2,1,7,2.4,3.2,-0.8,0.7,1,1
10,2,2,6,0.8,1.3,-0.5,0.8,10,3,3,4,1.6,1.6,0.0,1.2,1,0
10,6,0,4,1.7,1.4,0.3,1.8,6,3,1,2,3.1666666666666665,1.1666666666666667,2.0,1.6666666666666667,0,1
10,1,2,7,1.3,3.0,-1.7,0.5,10,5,2,3,2.1,1.2,0.9,1.7,1,1
10,6,2,2,2.5,0.7,1.8,2.0,10,4,2,4,1.1,1.6,-0.5,1.4,1,1
10,6,2,2,2.1,1.7,0.4,2.0,10,2,0,8,0.8,3.0,-2.2,0.6,1,1
10,4,1,5,1.5,1.3,0.2,1.3,10,2,1,7,1.2,2.7,-1.5,0.7,1,1
10,2,0,8,0.9,3.4,-2.5,0.6,10,2,1,7,2.3,3.5,-1.2,0.7,1,1
10,5,2,3,2.2,1.0,1.2,1.7,10,0,2,8,0.9,2.5,-1.6,0.2,1,1
10,6,1,3,1.7,1.2,0.5,1.9,10,7,1,2,2.7,1.3,1.4,2.2,0,1
10,4,4,2,2.4,0.6,1.8,1.6,10,8,2,0,2.0,0.4,1.6,2.6,1,1
10,4,2,4,1.7,1.4,0.3,1.4,10,6,4,0,2.0,0.7,1.3,2.2,1,1
10,7,2,1,1.7,0.7,1.0,2.3,10,3,3,4,1.0,1.2,-0.2,1.2,1,1
10,5,2,3,2.1,1.0,1.1,1.7,10,3,0,7,3.2,2.1,1.1,0.9,1,1
7,3,2,2,2.857142857142857,1.1428571428571428,1.7142857142857142,1.5714285714285714,10,7,1,2,2.4,1.4,1.0,2.2,1,1
10,6,0,4,1.5,1.3,0.2,1.8,10,5,1,4,1.4,1.7,-0.3,1.6,1,1
10,6,1,3,2.6,1.4,1.2,1.9,10,4,4,2,2.2,0.5,1.7,1.6,1,1
10,7,1,2,1.9,1.2,0.7,2.2,10,9,1,0,2.1,0.3,1.8,2.8,0,1
10,5,1,4,1.8,1.5,0.3,1.6,10,3,3,4,1.7,2.4,-0.7,1.2,0,1
10,6,1,3,1.5,0.8,0.7,1.9,10,1,4,5,0.8,1.6,-0.8,0.7,1,1
10,1,4,5,0.3,1.1,-0.8,0.7,10,3,5,2,0.7,0.6,0.1,1.4,0,0
10,5,2,3,1.9,1.4,0.5,1.7,10,3,1,6,0.7,1.2,-0.5,1.0,0,1
10,2,2,6,1.1,2.3,-1.2,0.8,10,4,1,5,1.5,1.1,0.4,1.3,1,1
10,3,2,5,1.0,1.3,-0.3,1.1,10,6,2,2,2.3,1.1,1.2,2.0,1,1
10,3,0,7,0.9,1.7,-0.8,0.9,10,2,5,3,0.7,1.5,-0.8,1.1,0,0
10,5,4,1,1.8,0.7,1.1,1.9,10,6,2,2,1.5,0.8,0.7,2.0,1,1
10,4,3,3,1.2,1.0,0.2,1.5,10,4,2,4,1.5,1.4,0.1,1.4,1,1
10,1,3,6,0.7,1.6,-0.9,0.6,10,3,2,5,1.5,2.6,-1.1,1.1,1,1
10,5,1,4,2.0,1.5,0.5,1.6,10,6,1,3,1.2,0.7,0.5,1.9,0,1
10,5,1,4,1.7,1.0,0.7,1.6,10,3,2,5,1.1,1.2,-0.1,1.1,1,1
10,6,2,2,2.4,1.2,1.2,2.0,10,2,2,6,1.1,2.4,-1.3,0.8,1,1
10,6,2,2,1.3,0.8,0.5,2.0,10,4,2,4,1.2,1.3,-0.1,1.4,1,1
10,4,3,3,1.2,1.0,0.2,1.5,10,4,4,2,1.4,0.8,0.6,1.6,1,1
10,0,5,5,0.4,1.3,-0.9,0.5,10,0,4,6,0.4,1.7,-1.3,0.4,0,0
10,5,1,4,1.0,0.9,0.1,1.6,10,3,2,5,1.4,2.6,-1.2,1.1,1,1
10,6,0,4,2.0,1.3,0.7,1.8,10,2,3,5,0.7,1.3,-0.6,0.9,0,1
10,1,2,7,1.1,2.7,-1.6,0.5,10,3,3,4,0.9,1.4,-0.5,1.2,0,0
10,5,2,3,1.8,1.0,0.8,1.7,10,6,2,2,2.2,1.2,1.0,2.0,1,1
10,2,3,5,1.1,1.3,-0.2,0.9,10,2,2,6,1.0,2.4,-1.4,0.8,1,1
10,2,2,6,1.6,2.2,-0.6,0.8,10,3,3,4,1.4,1.5,-0.1,1.2,0,0
10,1,5,4,0.6,1.0,-0.4,0.8,10,0,3,7,0.2,1.8,-1.6,0.3,0,0
10,4,1,5,1.5,1.7,-0.2,1.3,10,0,3,7,0.2,2.0,-1.8,0.3,0,0
10,5,1,4,1.9,1.5,0.4,1.6,10,2,3,5,1.4,1.3,0.1,0.9,0,1
10,4,2,4,1.3,1.4,-0.1,1.4,10,6,1,3,1.4,0.8,0.6,1.9,1,1
10,5,2,3,1.5,1.3,0.2,1.7,10,6,2,2,1.5,1.0,0.5,2.0,1,1
10,6,2,2,2.0,0.8,1.2,2.0,10,1,4,5,0.8,1.5,-0.7,0.7,1,1
10,6,1,3,2.0,1.3,0.7,1.9,10,6,1,3,1.4,0.8,0.6,1.9,0,1
10,6,2,2,1.8,1.1,0.7,2.0,10,6,2,2,1.9,0.7,1.2,2.0,1,1
10,4,1,5,1.7,1.8,-0.1,1.3,10,3,2,5,1.0,1.5,-0.5,1.1,0,0
10,6,1,3,2.0,1.2,0.8,1.9,10,5,3,2,1.8,0.8,1.0,1.8,0,1
10,4,1,5,0.7,1.0,-0.3,1.3,10,3,3,4,1.1,1.1,0.0,1.2,1,0
10,4,0,6,1.3,1.8,-0.5,1.2,10,7,1,2,1.7,0.7,1.0,2.2,1,0
10,1,3,6,0.6,2.1,-1.5,0.6,10,3,3,4,0.9,1.0,-0.1,1.2,0,0
10,1,5,4,0.6,1.0,-0.4,0.8,10,3,2,5,1.1,1.5,-0.4,1.1,0,0
10,6,3,1,1.3,0.6,0.7,2.1,10,3,5,2,1.1,1.2,-0.1,1.4,0,0
10,1,4,5,0.6,1.7,-1.1,0.7,10,1,4,5,0.7,1.5,-0.8,0.7,0,0
10,2,2,6,1.1,1.8,-0.7,0.8,10,5,2,3,1.8,0.9,0.9,1.7,0,0
10,1,4,5,0.5,1.6,-1.1,0.7,10,6,2,2,2.7,1.0,1.7,2.0,0,1
10,3,4,3,2.0,1.4,0.6,1.3,10,6,3,1,1.9,1.0,0.9,2.1,0,1
10,5,3,2,1.4,0.7,0.7,1.8,10,3,3,4,0.7,1.0,-0.3,1.2,1,0
10,5,1,4,0.9,0.7,0.2,1.6,10,4,3,3,1.1,1.4,-0.3,1.5,1,0
10,5,1,4,1.9,1.2,0.7,1.6,10,2,6,2,1.1,1.1,0.0,1.2,1,0
10,3,4,3,1.1,0.9,0.2,1.3,10,3,3,4,1.4,1.7,-0.3,1.2,0,0
10,3,5,2,0.9,0.7,0.2,1.4,10,9,1,0,2.6,0.7,1.9,2.8,0,0
10,4,2,4,1.1,1.3,-0.2,1.4,10,5,3,2,1.4,0.7,0.7,1.8,1,0
10,5,5,0,1.6,0.7,0.9,2.0,10,5,2,3,0.9,0.8,0.1,1.7,0,0
10,5,3,2,1.5,0.8,0.7,1.8,10,5,2,3,1.3,1.1,0.2,1.7,0,0
10,3,1,6,1.0,1.4,-0.4,1.0,10,6,0,4,2.5,1.6,0.9,1.8,0,0
10,5,3,2,1.4,0.7,0.7,1.8,10,4,1,5,1.1,1.5,-0.4,1.3,0,0
10,6,1,3,1.4,0.8,0.6,1.9,10,6,3,1,1.9,1.0,0.9,2.1,0,1
10,3,6,1,1.2,1.0,0.2,1.5,10,6,3,1,1.2,0.2,1.0,2.1,0,0
10,1,1,8,0.7,2.3,-1.6,0.4,10,5,2,3,1.1,1.0,0.1,1.7,0,1
10,0,1,9,0.1,2.6,-2.5,0.1,10,4,4,2,1.3,1.0,0.3,1.6,0,0
10,5,2,3,1.8,1.4,0.4,1.7,10,4,2,4,1.8,1.7,0.1,1.4,0,0
10,6,1,3,2.5,1.3,1.2,1.9,10,3,5,2,0.8,0.7,0.1,1.4,0,0
10,1,4,5,0.7,1.6,-0.9,0.7,10,1,4,5,0.4,1.6,-1.2,0.7,0,0
10,3,6,1,1.2,1.3,-0.1,1.5,10,4,3,3,1.3,0.9,0.4,1.5,0,0
10,5,2,3,2.2,1.1,1.1,1.7,10,5,3,2,1.7,0.8,0.9,1.8,0,0
10,3,3,4,1.1,1.2,-0.1,1.2,10,9,0,1,2.5,0.5,2.0,2.7,0,0
10,5,1,4,2.6,1.8,0.8,1.6,10,4,1,5,1.1,1.1,0.0,1.3,0,0
10,4,2,4,1.2,1.1,0.1,1.4,10,4,4,2,1.4,1.2,0.2,1.6,0,0
10,8,1,1,2.1,0.6,1.5,2.5,10,9,0,1,3.2,0.7,2.5,2.7,0,0
10,4,2,4,1.1,0.9,0.2,1.4,10,1,5,4,0.6,1.7,-1.1,0.8,0,0
10,4,2,4,1.6,1.1,0.5,1.4,10,6,2,2,2.1,1.3,0.8,2.0,1,0
10,2,5,3,1.3,1.6,-0.3,1.1,10,5,0,5,0.7,0.8,-0.1,1.5,0,0
10,0,1,9,0.0,2.3,-2.3,0.1,10,0,4,6,0.7,1.4,-0.7,0.4,0,0
10,2,4,4,0.8,1.1,-0.3,1.0,10,2,3,5,0.7,1.3,-0.6,0.9,0,1
10,5,4,1,1.5,0.4,1.1,1.9,10,3,2,5,1.1,1.6,-0.5,1.1,0,0
10,5,3,2,1.1,0.3,0.8,1.8,10,4,4,2,1.2,0.8,0.4,1.6,0,0
10,6,3,1,2.2,0.5,1.7,2.1,10,6,1,3,1.9,1.4,0.5,1.9,0,1
10,7,1,2,1.8,0.8,1.0,2.2,10,6,1,3,1.5,1.2,0.3,1.9,0,0
10,7,2,1,1.5,0.8,0.7,2.3,10,4,3,3,1.3,0.9,0.4,1.5,0,0
10,2,2,6,1.0,1.4,-0.4,0.8,10,0,0,10,0.2,4.6,-4.4,0.0,0,1
10,3,3,4,1.4,1.7,-0.3,1.2,10,3,2,5,1.0,1.1,-0.1,1.1,0,1
10,4,2,4,1.2,0.9,0.3,1.4,10,1,4,5,0.7,1.5,-0.8,0.7,1,0
10,7,2,1,1.9,0.8,1.1,2.3,10,5,2,3,1.6,1.3,0.3,1.7,0,0
10,4,5,1,1.6,0.6,1.0,1.7,10,7,3,0,2.5,0.9,1.6,2.4,0,0
10,4,1,5,0.8,1.1,-0.3,1.3,10,8,0,2,2.2,0.6,1.6,2.4,0,0
10,5,3,2,1.6,1.4,0.2,1.8,10,5,1,4,1.9,1.5,0.4,1.6,0,0
10,3,1,6,0.7,1.3,-0.6,1.0,10,5,1,4,1.2,1.1,0.1,1.6,0,0
10,4,2,4,1.2,1.0,0.2,1.4,10,3,1,6,1.1,2.0,-0.9,1.0,0,0
10,4,2,4,2.2,1.7,0.5,1.4,10,5,2,3,2.0,1.4,0.6,1.7,0,0
10,1,2,7,1.6,2.4,-0.8,0.5,10,4,4,2,1.2,0.7,0.5,1.6,0,0
10,6,2,2,1.4,0.8,0.6,2.0,10,1,1,8,0.8,2.1,-1.3,0.4,0,1
10,5,3,2,2.1,1.5,0.6,1.8,10,3,2,5,0.9,1.4,-0.5,1.1,1,1
10,3,2,5,1.4,1.8,-0.4,1.1,10,2,1,7,0.8,1.9,-1.1,0.7,1,1
10,5,2,3,1.3,0.9,0.4,1.7,10,2,2,6,0.6,1.6,-1.0,0.8,0,1
10,2,4,4,0.5,0.6,-0.1,1.0,10,3,1,6,1.5,5.3,-3.8,1.0,1,1
10,6,3,1,2.2,1.2,1.0,2.1,10,3,2,5,1.6,2.1,-0.5,1.1,1,1
10,5,1,4,2.4,1.3,1.1,1.6,10,3,3,4,1.3,0.7,0.6,1.2,1,1
10,2,2,6,0.7,1.5,-0.8,0.8,10,2,1,7,1.0,1.9,-0.9,0.7,1,1
10,7,1,2,1.8,0.8,1.0,2.2,10,4,1,5,1.1,1.1,0.0,1.3,0,0
10,5,2,3,1.3,0.9,0.4,1.7,10,2,2,6,1.5,2.5,-1.0,0.8,0,1
10,5,2,3,2.4,1.2,1.2,1.7,10,3,1,6,1.7,5.2,-3.5,1.0,1,1
10,7,2,1,2.5,1.1,1.4,2.3,10,2,2,6,1.0,1.8,-0.8,0.8,1,1
10,2,2,6,1.6,2.7,-1.1,0.8,10,1,3,6,0.6,1.6,-1.0,0.6,1,1
10,6,2,2,1.6,0.9,0.7,2.0,10,8,1,1,2.4,0.9,1.5,2.5,0,1
10,4,3,3,1.3,1.0,0.3,1.5,10,3,3,4,1.8,1.7,0.1,1.2,0,0
10,7,1,2,1.9,0.9,1.0,2.2,10,4,4,2,1.0,0.8,0.2,1.6,0,0
10,6,1,3,1.5,0.9,0.6,1.9,10,8,1,1,2.2,0.7,1.5,2.5,0,1
10,1,1,8,0.2,1.9,-1.7,0.4,10,6,1,3,1.5,0.9,0.6,1.9,0,0
10,7,0,3,1.7,1.3,0.4,2.1,10,9,1,0,2.5,0.7,1.8,2.8,0,1
10,0,4,6,0.6,2.1,-1.5,0.4,10,6,1,3,2.6,1.4,1.2,1.9,0,1
10,2,2,6,1.1,1.9,-0.8,0.8,10,1,1,8,0.6,2.1,-1.5,0.4,0,1
10,1,3,6,0.5,1.8,-1.3,0.6,10,3,0,7,0.8,1.8,-1.0,0.9,0,1
10,8,0,2,2.1,0.9,1.2,2.4,10,4,3,3,1.3,1.0,0.3,1.5,0,1
10,3,6,1,1.1,1.2,-0.1,1.5,10,2,5,3,1.2,1.7,-0.5,1.1,0,1
10,5,2,3,1.4,1.2,0.2,1.7,10,4,3,3,1.0,1.4,-0.4,1.5,0,1
10,5,3,2,1.8,1.4,0.4,1.8,10,7,3,0,2.3,0.4,1.9,2.4,0,1
10,5,1,4,1.0,0.8,0.2,1.6,10,3,3,4,1.0,1.3,-0.3,1.2,0,1
10,0,4,6,0.6,1.4,-0.8,0.4,10,4,3,3,1.4,1.2,0.2,1.5,0,1
10,8,1,1,3.2,0.9,2.3,2.5,10,3,2,5,1.5,1.3,0.2,1.1,0,0
10,6,2,2,1.1,0.7,0.4,2.0,10,5,1,4,1.2,1.3,-0.1,1.6,0,1
10,7,2,1,1.8,0.7,1.1,2.3,10,5,2,3,1.7,0.9,0.8,1.7,0,1
10,2,4,4,0.8,1.2,-0.4,1.0,10,3,5,2,1.2,1.1,0.1,1.4,1,0
10,6,2,2,2.3,1.0,1.3,2.0,10,3,1,6,0.8,1.4,-0.6,1.0,0,0
10,7,0,3,1.7,0.7,1.0,2.1,10,4,3,3,1.4,1.5,-0.1,1.5,0,1
10,5,2,3,1.3,0.7,0.6,1.7,10,4,2,4,1.1,0.9,0.2,1.4,0,1
10,6,3,1,2.1,1.1,1.0,2.1,10,3,3,4,1.9,1.5,0.4,1.2,0,1
10,3,5,2,1.4,1.3,0.1,1.4,10,3,3,4,1.1,0.9,0.2,1.2,0,1
10,3,2,5,1.1,1.9,-0.8,1.1,10,3,5,2,1.1,1.2,-0.1,1.4,0,1
10,3,1,6,0.9,1.3,-0.4,1.0,10,3,3,4,1.1,1.0,0.1,1.2,0,1
10,5,5,0,1.3,0.6,0.7,2.0,10,6,3,1,1.4,0.2,1.2,2.1,0,0
10,6,4,0,2.1,0.9,1.2,2.2,10,5,2,3,1.9,1.6,0.3,1.7,0,1
10,4,0,6,1.2,1.7,-0.5,1.2,10,3,3,4,1.7,2.0,-0.3,1.2,0,1
10,2,4,4,1.0,1.4,-0.4,1.0,10,1,3,6,0.6,2.0,-1.4,0.6,0,1
10,4,4,2,1.4,0.6,0.8,1.6,10,1,4,5,0.6,1.8,-1.2,0.7,0,0
10,8,2,0,2.2,0.6,1.6,2.6,10,6,2,2,1.9,0.6,1.3,2.0,0,0
10,5,1,4,0.8,0.8,0.0,1.6,10,2,2,6,1.3,2.0,-0.7,0.8,0,1
10,2,3,5,0.7,1.0,-0.3,0.9,10,3,4,3,1.1,1.2,-0.1,1.3,0,0
10,1,1,8,0.4,1.6,-1.2,0.4,10,2,5,3,1.0,1.3,-0.3,1.1,0,1
10,5,2,3,2.2,1.0,1.2,1.7,10,4,2,4,1.3,1.2,0.1,1.4,0,1
10,5,2,3,1.5,0.9,0.6,1.7,10,4,4,2,1.2,1.0,0.2,1.6,0,1
10,9,0,1,2.5,0.7,1.8,2.7,10,2,3,5,1.2,1.8,-0.6,0.9,0,1
10,2,3,5,0.6,1.5,-0.9,0.9,10,3,2,5,1.2,1.4,-0.2,1.1,0,1
10,5,1,4,2.4,1.6,0.8,1.6,10,4,4,2,1.2,0.7,0.5,1.6,0,1
10,2,3,5,0.9,1.2,-0.3,0.9,10,2,3,5,1.3,1.9,-0.6,0.9,0,0
10,1,3,6,1.4,1.8,-0.4,0.6,10,1,2,7,1.4,2.1,-0.7,0.5,0,0
10,6,3,1,1.7,0.8,0.9,2.1,10,5,3,2,1.6,0.8,0.8,1.8,0,1
10,4,3,3,1.4,0.9,0.5,1.5,10,3,4,3,0.9,0.8,0.1,1.3,0,1
10,6,2,2,1.4,1.1,0.3,2.0,10,0,0,10,0.4,3.3,-2.9,0.0,0,1
10,6,1,3,2.0,1.3,0.7,1.9,10,3,1,6,0.8,1.0,-0.2,1.0,0,1
10,6,1,3,1.8,1.1,0.7,1.9,10,0,1,9,0.1,2.6,-2.5,0.1,0,1
10,2,1,7,0.7,1.5,-0.8,0.7,10,4,3,3,1.6,1.6,0.0,1.5,0,1
10,7,3,0,1.4,0.5,0.9,2.4,10,2,3,5,0.7,1.4,-0.7,0.9,0,1
10,6,2,2,1.7,0.7,1.0,2.0,10,2,3,5,0.6,1.2,-0.6,0.9,0,1
10,3,1,6,1.2,1.9,-0.7,1.0,10,5,2,3,1.7,0.8,0.9,1.7,0,1
10,3,2,5,1.1,1.1,0.0,1.1,10,4,5,1,1.4,0.5,0.9,1.7,0,1
10,5,4,1,1.2,0.3,0.9,1.9,10,4,5,1,1.5,0.5,1.0,1.7,0,1
10,4,2,4,1.0,0.8,0.2,1.4,10,3,1,6,0.7,1.2,-0.5,1.0,0,1
10,3,5,2,1.1,1.2,-0.1,1.4,10,3,1,6,0.8,1.4,-0.6,1.0,0,0
10,2,4,4,1.2,1.1,0.1,1.0,10,5,3,2,1.6,0.7,0.9,1.8,0,1
10,0,0,10,0.4,3.5,-3.1,0.0,10,2,0,8,0.9,3.1,-2.2,0.6,0,1
10,2,4,4,0.9,1.3,-0.4,1.0,10,6,1,3,1.6,0.9,0.7,1.9,1,0
10,0,3,7,0.4,2.1,-1.7,0.3,10,2,2,6,1.1,2.2,-1.1,0.8,0,1
10,3,2,5,1.8,1.5,0.3,1.1,10,6,2,2,1.8,1.1,0.7,2.0,0,1
10,2,2,6,1.2,1.8,-0.6,0.8,10,3,3,4,0.9,1.2,-0.3,1.2,0,1
10,7,1,2,2.8,1.3,1.5,2.2,10,5,2,3,1.7,1.0,0.7,1.7,0,1
10,6,1,3,1.9,0.9,1.0,1.9,10,6,2,2,1.6,0.9,0.7,2.0,0,1
10,4,4,2,1.2,0.7,0.5,1.6,10,0,0,10,0.2,4.4,-4.2,0.0,0,1
10,5,2,3,1.7,0.8,0.9,1.7,10,7,2,1,1.9,0.6,1.3,2.3,1,0
10,8,1,1,3.0,0.9,2.1,2.5,10,7,2,1,2.1,1.0,1.1,2.3,0,1
10,3,1,6,0.9,1.1,-0.2,1.0,10,5,2,3,1.7,1.6,0.1,1.7,0,1
10,3,5,2,1.4,1.2,0.2,1.4,10,1,3,6,0.5,1.9,-1.4,0.6,0,1
10,3,2,5,0.9,1.2,-0.3,1.1,10,0,4,6,0.6,1.4,-0.8,0.4,0,0
10,5,1,4,1.1,0.6,0.5,1.6,10,4,5,1,1.1,0.8,0.3,1.7,0,1
10,5,2,3,1.5,1.1,0.4,1.7,10,3,6,1,1.3,1.2,0.1,1.5,0,1
10,1,1,8,0.7,2.1,-1.4,0.4,10,3,3,4,0.8,1.0,-0.2,1.2,0,1
10,7,1,2,2.2,0.7,1.5,2.2,10,1,3,6,0.6,1.9,-1.3,0.6,0,1
10,1,4,5,0.6,1.2,-0.6,0.7,10,2,2,6,1.1,1.9,-0.8,0.8,0,0
10,3,3,4,1.0,0.9,0.1,1.2,10,2,2,6,0.8,1.5,-0.7,0.8,0,1
10,5,2,3,0.9,1.0,-0.1,1.7,10,6,2,2,1.3,0.4,0.9,2.0,0,0
10,4,3,3,1.2,0.8,0.4,1.5,10,6,3,1,1.5,0.7,0.8,2.1,0,1
10,1,1,8,0.2,1.8,-1.6,0.4,10,5,1,4,1.3,1.0,0.3,1.6,0,1
10,7,3,0,2.4,0.3,2.1,2.4,10,7,0,3,1.8,0.7,1.1,2.1,0,1
10,2,5,3,1.0,1.1,-0.1,1.1,10,4,3,3,1.4,1.0,0.4,1.5,0,1
10,2,5,3,1.3,1.7,-0.4,1.1,10,3,1,6,1.1,2.0,-0.9,1.0,0,1
10,4,3,3,1.3,1.1,0.2,1.5,10,5,2,3,2.5,1.6,0.9,1.7,0,1
10,4,2,4,1.2,1.4,-0.2,1.4,10,3,1,6,1.2,1.8,-0.6,1.0,0,1
10,4,4,2,1.3,0.9,0.4,1.6,10,7,1,2,2.0,0.9,1.1,2.2,0,1
10,3,2,5,1.4,1.2,0.2,1.1,10,5,3,2,2.2,0.9,1.3,1.8,0,1
10,3,2,5,0.7,1.4,-0.7,1.1,10,8,2,0,2.3,0.5,1.8,2.6,0,1
10,3,3,4,1.3,1.8,-0.5,1.2,10,6,1,3,1.9,1.4,0.5,1.9,0,1
10,4,0,6,0.7,1.0,-0.3,1.2,10,6,1,3,1.8,1.0,0.8,1.9,0,1
10,2,4,4,1.0,1.4,-0.4,1.0,10,6,0,4,1.2,0.8,0.4,1.8,0,1
10,5,1,4,0.7,0.8,-0.1,1.6,10,6,0,4,1.6,1.5,0.1,1.8,0,1
10,10,0,0,2.7,0.7,2.0,3.0,10,5,3,2,1.6,1.1,0.5,1.8,0,1
10,4,3,3,1.2,1.6,-0.4,1.5,10,1,1,8,0.4,1.6,-1.2,0.4,0,1
10,0,1,9,0.1,2.7,-2.6,0.1,10,3,0,7,0.9,1.9,-1.0,0.9,0,1
10,8,0,2,2.2,0.7,1.5,2.4,10,5,3,2,1.0,0.7,0.3,1.8,0,1
10,9,0,1,2.8,0.7,2.1,2.7,10,3,3,4,1.0,1.1,-0.1,1.2,0,1
10,1,4,5,0.9,1.9,-1.0,0.7,10,1,5,4,0.5,1.3,-0.8,0.8,0,0
10,2,1,7,0.6,1.4,-0.8,0.7,10,3,3,4,1.0,1.5,-0.5,1.2,0,0
10,2,2,6,1.6,1.8,-0.2,0.8,10,1,3,6,1.3,1.9,-0.6,0.6,0,0
10,7,3,0,2.1,0.3,1.8,2.4,10,5,0,5,1.2,1.1,0.1,1.5,1,0
10,6,0,4,1.6,1.5,0.1,1.8,10,6,2,2,1.9,1.0,0.9,2.0,0,0
10,4,3,3,1.9,1.4,0.5,1.5,10,0,5,5,0.2,1.1,-0.9,0.5,0,0
10,4,3,3,1.6,1.6,0.0,1.5,10,0,2,8,0.6,2.9,-2.3,0.2,0,0
10,2,2,6,0.7,1.0,-0.3,0.8,10,6,1,3,1.8,0.9,0.9,1.9,1,0
10,6,2,2,1.9,1.3,0.6,2.0,10,4,3,3,0.8,1.0,-0.2,1.5,0,0
10,6,2,2,2.1,1.0,1.1,2.0,10,5,2,3,3.3,1.0,2.3,1.7,0,1
10,6,2,2,1.7,0.9,0.8,2.0,10,3,6,1,1.2,0.5,0.7,1.5,0,1
10,6,0,4,1.7,1.5,0.2,1.8,10,1,0,9,0.4,1.8,-1.4,0.3,0,1
10,1,2,7,0.6,2.2,-1.6,0.5,10,9,0,1,3.0,0.7,2.3,2.7,0,1
10,5,3,2,1.1,0.5,0.6,1.8,10,8,2,0,2.2,0.5,1.7,2.6,0,0
10,2,2,6,1.0,1.8,-0.8,0.8,10,3,3,4,0.9,0.9,0.0,1.2,0,1
10,6,2,2,1.7,0.9,0.8,2.0,10,2,2,6,1.1,1.9,-0.8,0.8,0,1
10,3,2,5,1.8,1.5,0.3,1.1,10,3,0,7,1.2,2.6,-1.4,0.9,0,1
10,1,2,7,1.0,2.4,-1.4,0.5,10,4,3,3,1.6,1.0,0.6,1.5,0,1
10,7,0,3,1.7,0.6,1.1,2.1,10,6,1,3,1.8,1.4,0.4,1.9,0,1
10,6,0,4,1.3,1.0,0.3,1.8,10,5,3,2,1.8,1.3,0.5,1.8,0,1
10,0,2,8,0.2,2.2,-2.0,0.2,10,0,3,7,0.4,2.2,-1.8,0.3,0,1
10,5,3,2,1.9,0.7,1.2,1.8,10,4,3,3,1.9,1.0,0.9,1.5,0,1
10,5,3,2,1.7,0.8,0.9,1.8,10,6,1,3,1.3,0.7,0.6,1.9,0,1
10,4,3,3,1.1,1.1,0.0,1.5,10,3,4,3,1.2,1.3,-0.1,1.3,0,1
10,2,3,5,0.9,1.4,-0.5,0.9,10,6,2,2,2.2,1.4,0.8,2.0,0,1
10,3,1,6,1.0,1.7,-0.7,1.0,10,4,0,6,0.7,1.1,-0.4,1.2,0,1
